id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_depa_welfare,depa_welfare,model_depa_welfare,,1,1,1,1
access_depa_welfare_types,depa_welfare_types,model_depa_welfare_types,,1,0,0,0
access_depa_welfare_lines,depa_welfare_lines,model_depa_welfare_lines,,1,1,1,1
access_depa_welfare_rounds,depa_welfare_rounds,model_depa_welfare_rounds,,1,1,1,1
access_depa_welfare_round_lines,depa_welfare_round_lines,model_depa_welfare_round_lines,,1,1,1,1
access_depa_welfare_hr,depa_welfare_hr,model_depa_welfare_hr,,1,0,0,0
access_depa_welfare_hr_setting,depa_welfare_hr_lines,model_depa_welfare_hr_lines,,1,1,0,0
access_depa_welfare_type_lines,depa_welfare_type_lines,model_depa_welfare_type_lines,,1,0,0,0
access_depa_welfare_hr_wizard,depa_welfare_hr_wizard,model_depa_welfare_hr_wizard,,1,1,1,1
access_depa_welfare_flow_setting,depa_welfare_flow_setting,model_depa_welfare_flow_setting,,1,0,0,0
access_depa_welfare_state_setting,depa_welfare_state_setting,model_depa_welfare_state_setting,,1,0,0,0
access_workflow_process_setting,workflow_process_setting,model_workflow_process_setting,,1,0,0,0
access_depa_welfare_approval_lines,depa_welfare_approval_lines,model_depa_welfare_approval_lines,,1,1,1,1
access_depa_welfare_make_approval_wizard,depa_welfare_make_approval_wizard,model_depa_welfare_make_approval_wizard,,1,1,1,1
access_depa_welfare_draft_fin100_wizard,depa_welfare_draft_fin100_wizard,model_depa_welfare_draft_fin100_wizard,,1,1,1,1
access_user_profile,user_profile,model_user_profile,,1,1,1,1
access_point_history_lines,point_history_lines,model_point_history_lines,,1,1,1,1
access_depa_welfare_approval_lines_history,depa_welfare_approval_lines_history,model_depa_welfare_approval_lines_history,,1,1,1,1
access_depa_welfare_lines_history,depa_welfare_lines_history,model_depa_welfare_lines_history,,1,1,1,1
access_user_relative,user_relative,model_user_relative,,1,1,1,1
access_depa_welfare_basic_setting,depa_welfare_basic_setting,model_depa_welfare_basic_setting,,1,1,1,1
access_life_insurance_lines,life_insurance_lines,model_life_insurance_lines,,1,1,1,1
access_health_insurance_lines,health_insurance_lines,model_health_insurance_lines,,1,1,1,1
access_health_insurance_desc_lines,health_insurance_desc_lines,model_health_insurance_desc_lines,,1,1,1,1
access_life_insurance_desc_lines,life_insurance_desc_lines,model_life_insurance_desc_lines,,1,1,1,1
access_depa_welfare_basic,depa_welfare_basic,model_depa_welfare_basic,,1,1,1,1
access_depa_welfare_basic_lines,depa_welfare_basic_lines,model_depa_welfare_basic_lines,,1,1,1,1
access_basic_life_insurance_lines,basic_life_insurance_lines,model_basic_life_insurance_lines,,1,1,1,1
access_basic_life_insurance_desc_lines,basic_life_insurance_desc_lines,model_basic_life_insurance_desc_lines,,1,1,1,1
access_basic_health_insurance_lines,basic_health_insurance_lines,model_basic_health_insurance_lines,,1,1,1,1
access_basic_health_insurance_desc_lines,basic_health_insurance_desc_lines,model_basic_health_insurance_desc_lines,,1,1,1,1
aceess_employee_relative_lines,employee_relative_lines,model_employee_relative_lines,,1,1,1,1
access_basic_welfare_attachment_lines,basic_welfare_attachment_lines,model_basic_welfare_attachment_lines,,1,1,1,1
access_depa_welfare_hr_manager,depa_welfare_hr_manager,model_depa_welfare_hr,group_user_welfare_point_management,1,1,1,1
access_depa_welfare_hr_setting_manager,depa_welfare_hr_lines_manager,model_depa_welfare_hr_lines,group_user_welfare_point_management,1,1,1,1
access_depa_welfare_types_manager,depa_welfare_types_manager,model_depa_welfare_types,group_user_welfare_types_management,1,1,1,1
access_depa_welfare_type_lines_manager,depa_welfare_type_lines_manager,model_depa_welfare_type_lines,group_user_welfare_types_management,1,1,1,1
access_depa_welfare_basic_difference,depa_welfare_basic_difference,model_depa_welfare_basic_difference,,1,1,1,1
access_depa_welfare_basic_difference_lines,depa_welfare_basic_difference_lines,model_depa_welfare_basic_difference_lines,,1,1,1,1
access_depa_welfare_flow_setting_manager,depa_welfare_flow_setting_manager,model_depa_welfare_flow_setting,group_user_welfare_flow_setting,1,1,1,1
access_depa_welfare_state_setting_manager,depa_welfare_state_setting_manager,model_depa_welfare_state_setting,group_user_welfare_flow_setting,1,1,1,1
access_workflow_process_setting_manager,workflow_process_setting_manager,model_workflow_process_setting,group_user_welfare_flow_setting,1,1,1,1
